"study_id","study_tags","deduplication_status","citation_screening_status","fulltext_screening_status","data_extraction_screening_status","data_source_type","data_source_name","data_source_url","citation_title","citation_abstract","citation_authors","citation_journal_name","citation_journal_volume","citation_pub_year","citation_keywords","citation_exclude_reasons","fulltext_filename","fulltext_exclude_reasons"
4194521,"","not_duplicate","excluded","not_screened","not_started","database","","","CMS aims higher in goal of reducing inappropriate prescribing of antipsychotics...[corrected] [published erratum appears in ANN LONG TERM CARE 2013 Mar;21(3):15]","","","","21",2013,"Antipsychotic Agents -- Therapeutic Use	Inappropriate Prescribing	Nursing Home Patients	United State","NOT AMS intervention","",""
4194522,"","not_duplicate","excluded","not_screened","not_started","database","","","Abstracts PCNE Working Symposium 2014","The proceedings contain 27 papers. The topics discussed include: omission impossible: a snapshot of medication dose omissions in an Australian teaching hospital; prescribing of benzodiazepines for insomnia and behavioural and psychological symptoms of dementia in residential aged care facilities; drug relation problems in polish patients with chronic illness; home medicines review in the elderly; prevalence of inappropriate prescribing of inhaled corticosteroids for respiratory tract infections in the Netherlands; evaluation of a Danish pharmacist student-physician medication review collaboration model; pharmacist involvement to decrease drug related problem (DRP) among geriatric patients in Indonesian primary health centres; development of shared care guidelines in rheumatology; evolution of pharmaceutical care definitions: the PCNE definition 2013; potential DRP related to computerized physician order entry: an updating of DRP classifications needed; and identification of pharmaceutical care needs for a sample population of rheumatoid arthritis patients on methotrexate.","","","36",2014,"benzodiazepine derivative	corticosteroid	methotrexate	human	pharmacist	patient	pharmaceutical care	d","Article type; NOT AMS intervention","",""
4194523,"","not_duplicate","excluded","not_screened","not_started","database","","","Consider the factors that influence patients' decisions to stop taking potentially inappropriate medications when developing a deprescribing plan","A number of competing barriers and enablers influence patients' decisions to stop taking potentially inappropriate medications. According to a recent systematic review, disagreement with appropriateness of cessation, fear of consequences of cessation, absence of a process for cessation, and negative influences on patients' decisions to cease medication may prevent patients from agreeing to medication cessation. In contrast, agreement with appropriateness of cessation, presence of a process for cessation, positive influences on patients' decisions to cease medication, and dislike of medications may facilitate patients' willingness to stop inappropriate medications. © 2014 Springer International Publishing.","","","30",2014,"drug withdrawal	fear	follow up	human	inappropriate prescribing	patient decision making	patient risk	","NOT AMS intervention; NOT Long Term Care","",""
4194524,"","not_duplicate","excluded","not_screened","not_started","database","","","CMS announces new goals to reduce antipsychotic drug use in nursing homes","","","","24",2014,"United States Centers for Medicare and Medicaid Services	Antipsychotic Agents -- Therapeutic Use -- ","NOT AMS intervention","",""
4194525,"","not_duplicate","excluded","not_screened","not_started","database","","","MEDICATION REVIEW SAVES NURSES’ TIME","A project involving care home nurses that led to a significant reduction in unnecessary prescribing has saved around an hour a day of nursing time.","","","28",2014,"Inappropriate Prescribing -- Prevention and Control	Prescribing Patterns	Home Health Care","; NOT AMS intervention","",""
4194526,"LG diag/ter","not_duplicate","included","excluded","not_started","database","","","Manage catheter-related urinary tract infection in the elderly in long-term care by limiting catheter use and avoiding the inappropriate use of antimicrobials","Elderly residents of long-term care facilities often require chronic indwelling catheterization for the management of urinary voiding. As a result of urethral catheterization, residents are bacteriuric, primarily due to biofilm formation along the catheter, and may develop symptomatic urinary tract infection (UTI). To avoid the development of resistance, UTI should be treated with short courses of appropriate antimicrobials. Strategies, including avoiding the use of catheters whenever possible, should be followed to prevent and manage catheter-related UTI in elderly long-term care residents.","","","30",2014,"Catheter-Related Infections -- Drug Therapy	Urinary Tract Infections -- In Old Age	Drug Resistance, ","","2014_Article_ManageCatheter-relatedUrinaryT.pdf","NOT Impl Barr"
4194527,"","not_duplicate","excluded","not_screened","not_started","database","","","UPCOMING INITIATIVES IN 2014 -2015","The article presents several initiatives for wound care in 2014-2015 including European Wound Management Association (EWMA) leg ulcer recommendations project, negative pressure wound therapy (NPWT) devices' application and use, and nurses' education.","","","14",2014,"Wound Care -- Organizations	Program Development	Leg Ulcer -- Therapy	Negative Pressure Wound Therapy","NOT AMS intervention; NOT Long Term Care","",""
4194528,"","not_duplicate","excluded","not_screened","not_started","database","","","Free Interactive Program Available for Improving Care for Dementia Patients","The article presents information on two courses for improving care for dementia patients, including""Dementia in the Long-Term Care Setting, Clinical Practice Guideline for Prescribers"" and ""Dementia in the Long-Term Care Setting, Clinical Practice Guideline for Non-Prescribers.""","","Journal of Gerontological Nursing","40",2014,"Dementia -- Therapy	Inappropriate Prescribing -- Prevention and Control	Professional Development	Ant","NOT AMS intervention","",""
4194529,"","not_duplicate","excluded","not_screened","not_started","database","","","One-on-one with... Phenelle Segal","An interview with Phenelle Segal, president of Infection Control Consulting Specialists in Delray Beach, Florida is presented. She states that antibiotic stewardship is a process of infection prevention. She notes that nursing homes have issues that are not factors in acute care but caused by poor practices. She mentions that long-term care (LTC) facilities understand the need to step up practices in infection prevention.","","Long-Term Living: For the Continuing Care Professional","63",2014,"Aged	Infection Control -- Evaluation	Long Term Care -- Evaluation	Antibiotics -- Therapeutic Use	Ant","Article type","",""
4194530,"trafiletto","not_duplicate","included","excluded","not_started","database","","","Centers for Disease Control and Prevention (CDC) publishes nursing home guidelines on preventing antibiotics overuse","The article discusses the publication of nursing home guidelines on stopping overuse in antibiotics which are unnecessary or inappropriate from the U.S. federal agency Centers for Disease Control and Prevention (CDC).","","","115",2015,"Antibiotics -- Therapeutic Use	Inappropriate Prescribing -- Prevention and Control	Long Term Care --","","NewsCAP__Centers_for_Disease_Control_and.15.pdf","Article type"
4194531,"trafiletto","not_duplicate","included","excluded","not_started","database","","","Keys to Park Manor’s antibiotic stewardship program","The article discusses the monitoring of antibiotic prescription at Park Manor Nursing Home in Park Falls, Wisconsin featuring its use of color-coded spreadsheet, the evaluation and improvement of observed processes by an authority, and the implementation of report cards for antibiotic use.","","","45",2015,"","","2015_Keys_to_Park_Manors_antibiotic_stewardship_program__EBSCOhost.pdf","Article type"
4194532,"","not_duplicate","excluded","not_screened","not_started","database","","","Research news","The article presents several studies related to nursing as of November 2015. Topics covered include antimicrobial resistance (AMR) as an urgent public health concern and inappropriate antibiotic prescribing, the major role of primary care in diabetes care, and the prevention of unintentional injuries to children in the home as a public health policy.","","","25",2015,"Drug Resistance, Microbial	Diabetes Mellitus -- Prevention and Control	Primary Health Care	Wounds an","Article type; NOT AMS intervention","",""
4194533,"","not_duplicate","excluded","not_screened","not_started","database","","","CMS calls for infection control improvements, antibiotic stewardship in nursing homes","","","","42",2015,"Nursing Homes	Cross Infection -- Prevention and Control	Antibiotics	Prescribing Patterns	United Stat","Article type; NOT AMS intervention","",""
4194534,"","not_duplicate","excluded","not_screened","not_started","database","","","Antimicrobial stewardship standard deadline approaching","","","","19",2016,"Skilled Nursing Facilities	Home Health Agencies	Joint Commission	Centers for Disease Control and Pre","; Article type","",""
4194535,"","not_duplicate","excluded","not_screened","not_started","database","","","Hospitalisations caused by inappropriate medication use","","","","55",2017,"citalopram	escitalopram	ketorolac	methyldopa	nifedipine	nonsteroid antiinflammatory agent	spironolac","NOT AMS intervention; NOT Long Term Care","",""
4194536,"scaricato full originale","not_duplicate","excluded","not_screened","not_started","database","","","Correction: Antibiotic use and need for antimicrobial stewardship in long-term care (Canadian Journal of Hospital Pharmacy (2015) 68:6 (445-449))","In an article about a study identifying potential antimicrobial stewardship needs in a long-term care facility,1 data for median days of therapy (DOT) were calculated incorrectly, which led to errors in the text and Table 1. In the Results section, under the subheading ""Antibiotic Use"", the statement about median DOT should read as follows, with the corrected values shown in bold: The median DOT per 1000 patient-days per month was 38.97 (interquartile range [IQR] 29.06-43.87) for all antibiotic routes combined (IV, oral, gastric tube, intraperitoneal, and topical),6.93 (IQR 6.09-9.62) for IV antibiotics, and 27.63 (IQR 21.73-33.78) for oral antibiotics. In addition, the data columns in Table 1 reporting median DOT/1000 patient-days were incorrect. In the complete table shown here, all values in the column for median DOT/1000 patient-days (and interquartile range) have been corrected.","","","70",2017,"erratum	error","","",""
4194537,"","not_duplicate","excluded","not_screened","not_started","database","","","Erratum: Algorithms Promoting Antimicrobial Stewardship in Long-Term Care (Journal of the American Medical Directors Association (2016) 17(2) (173–178)(S1525861015007288)(10.1016/j.jamda.2015.11.017))","The authors of the In The Trenches article from the February 2016 issue wish to make a correction to Figure 1 of their article titled, Algorithms Promoting Antimicrobial Stewardship in Long-Term Care (Zarowitz BJ, Allen C, Tangalos E, Ouslander JG, JAMDA 2016;17:173-178). See details of the Figure alterations in our Reply to the Letter to the Editor by Jump RL, et al. in this same issue of the Journal.[figure presented]","","","18",2017,"erratum	error","Article type","",""
4194538,"","not_duplicate","excluded","not_screened","not_started","database","","","Facilities Get Help With Mandated Antibiotic Stewardship Programs","","","","18",2017,"Antibiotics	Nursing Homes	Education, Interdisciplinary	Program Implementation","; Article type","",""
4194539,"","not_duplicate","excluded","not_screened","not_started","database","","","ANA and CDC release white paper on nurses' role in antibiotic stewardship","","","","12",2017,"Antibiotics	Nursing Role	American Nurses Association	Centers for Disease Control and Prevention (U.S","; Article type","",""
4194540,"","not_duplicate","excluded","not_screened","not_started","database","","","2019 Antibiotic Stewardship Awards","The article offers information on Antibiotic stewardship which refers to set of actions designed to optimize treatment of infections while reducing the adverse events associated with antibiotic use; and mentions that nursing homes should take steps to improve antibiotic prescribing practices.","","","27",2017,"","; Full Text Not available","",""
4194541,"","not_duplicate","excluded","not_screened","not_started","database","","","Case study: Urinary incontinence -- the role of a pharmacist in an aged care Residential Medication Management Review","Polypharmacy and increased age are two risk factors for urinary incontinence for residents living in aged care facilities. To reduce this risk for older Australians living in residential aged care facilities, their general practitioner can make a referral to an accredited pharmacist for a Residential Medication Management Review. Medication reviews can address any drug-related problems related to urinary incontinence. We present a case study of a 76-year-old woman with multiple co-morbidities, whose prescribed medicines were reviewed two weeks after returning to her aged care facility from hospital. The medication reconciliation on admission to hospital had been suboptimal, leading to the duplication of medication prescribed to treat urinary incontinence, and this continued on her return to the aged care facility. The focus for the medication review was her worsening urinary incontinence and to decrease her Drug Burden Index, with the aim to reduce her confusion and falls risk. To improve the woman's symptoms, the pharmacist recommended changes to prescribed medications and some were accepted by the general practitioner. This case illustrates the benefits of a pharmacist being a member of the multidisciplinary team for treating urinary incontinence.","Deeks, Louise	Naunton, Mark	Nahon, Irmina","Australian & New Zealand Continence Journal","23",2017,"Urinary Incontinence -- Therapy	Medication Management -- Methods	Pharmacists	Professional Role	Geron","NOT AMS intervention","",""
4194542,"","not_duplicate","excluded","not_screened","not_started","database","","","The Joint Commission's Antibiotic Stewardship Now in Effect","The article offers information on implementation of the Joint Commission's antibiotic stewardship standard in the U.S., as of April 2017. It states that new Medication Management standard requires antimicrobial stewardship programs for hospitals, critical access hospitals, and nursing care centers, and mentions elements of performance of the standard like making antimicrobial stewardship an organizational priority, and forming a multidisciplinary antimicrobial stewardship team.","","","28",2017,"Joint Commission	Antibiotics	Drug Utilization	Patient Safety	Quality of Health Care	Medication Manag","Article type; NOT AMS intervention","",""
4194543,"utile x back","not_duplicate","excluded","not_screened","not_started","database","","","Antibiotic stewardship addressed head on in CMS' revised infection control requirements","","","","20",2017,"Newsletters	Infection Control	United States Centers for Medicare and Medicaid Services	Head	Long Ter","; Article type","",""
4194544,"","not_duplicate","excluded","not_screened","not_started","database","","","Erratum...Algorithms Promoting Antimicrobial Stewardship in Long-Term Care (Zarowitz BJ, Allen C, Tangalos E, Ouslander JG, JAMDA 2016;17:173-178)","","","","18",2017,"Long Term Care	Antibiotics -- Therapeutic Use","; Full Text Not available","",""
4194545,"","not_duplicate","excluded","not_screened","not_started","database","","","Optimizing prescribing of antipsychotics in long-term care (OPAL)","","","","Conference: 2017 Ann",2017,"","NOT AMS intervention","",""
4194546,"","not_duplicate","excluded","not_screened","not_started","database","","","Pharmacists catch the wave","","","","33",2018,"biosimilar agent	antimicrobial stewardship	awards and prizes	baby boomer	clinical competence	confere","Article type; Full Text Not available","",""
4194547,"","not_duplicate","excluded","not_screened","not_started","database","","","1st International Conference FIP Pharmacy Practice Research: Postgraduate Students, Postdoctoral Fellows and Supervisors Symposium","The proceedings contain 76 papers. The topics discussed include: evaluation and analysis of drug-related problems in cancer patients readmitted 30 days after discharge in 2 Belgian hospitals; network meta-analysis: application and practical use; cardiac and cerebrovascular risk of major adverse events following exposure to potentially inappropriate medications; mobile health intervention increases adherence in adolescents with asthma: a cluster randomized controlled trial in community pharmacies; opportunities and limits to deprescribing in nursing homes (OLD-NH); enhancing self-management support in primary health care: a systematic review of randomized controlled trials; using pharmacoeconomic evaluations to inform national guideline recommendations: an example from the UK; and outcomes of urinary tract infection management by pharmacists (RxOUTMAP): a study of pharmacist prescribing and care in patients with uncomplicated urinary tract infections in the community.","","","16",2018,"adolescent	asthma	cancer patient	conference review	drug abuse	female	heart	human	male	meta analysis	","Article type","",""
4194548,"","not_duplicate","excluded","not_screened","not_started","database","","","ANA and CDC Release White Paper on Nurses' Role in Antibiotic Stewardship","","","","71",2018,"American Nurses Association	Centers for Disease Control and Prevention (U.S.)	Antibiotics -- Adminis","; Article type","",""
4194549,"","not_duplicate","excluded","not_screened","not_started","database","","","OIG investigations to keep in mind in 2018","","","","20",2018,"Government Agencies -- United States	Quality Assessment	Reports	Inappropriate Prescribing	Fraud	Pati","; Full Text Not available","",""
4194550,"","not_duplicate","excluded","not_screened","not_started","database","","","Antipsychotic prescribing in dementia-a review of antipsychotic prescribing in individuals with dementia in a psychiatry of old age service in Sligo, Ireland","Background: The majority of people with dementia will develop one or more behavioural or psychological symptoms of dementia as the illness progresses. Treating these non-cognitive symptoms of dementia is a challenge, particularly in diverse residential environments. Up to one third of people with dementia are prescribed an antipsychotic medication. However, the risks and limited benefits of their use are well recognised, prompting the introduction of national guidelines in Ireland to recommend prudent prescribing and close monitoring of the use of antipsychotic medications. Aims and Methods: We developed an audit tool to assess the frequency and appropriateness of prescribing of antipsychotic medication in older adults with BPSD referred to Psychiatry of Old Age, Sligo/Leitrim Mental Health Service by comparing with best practice guidelines. Clinical records for all patients actively under the care of our team in March 2019 with a diagnosis of BPSD were audited using this tool. We wished to address any identified deficits via quality improvement initiatives within our department. Results: Forty-nine patients with BPSD were attending the service in this time period. 58% (n=29) of this cohort were prescribed an antipsychotic, most commonly quetiapine. Exploration of non-pharmacological management of BPSD, documentation of discussion of risks of risks of AP medication (metabolic, cardiovascular, falls, sedation, extrapyramidal) were all achieved in less than 50% of cases. By location of treatment-those in acute hospital care were most frequently prescribed antipsychotics (100%), followed by nursing home care (80%) with those living at home prescribed the least (50%). Conclusion: Despite increased attention regarding the limited benefits of antipsychotic medication in managing challenging behaviour in BPSD, their use remains widespread. Furthermore there is insufficient evidence of review of their use following initiation. Prescribers should first consider alternative management strategies for BPSD and familiarize themselves with current guidelines regarding appropriate monitoring once prescribed.","","","31",2019,"quetiapine	aged	attention	clinical article	cohort analysis	conference abstract	controlled study	deme","NOT AMS intervention","",""
4194551,"","not_duplicate","excluded","not_screened","not_started","database","","","Home health service gets assist from pharmacists","The article reports on a pilot project at Hunterdon Medical Center in New Jersey about medication therapy management services to home-bound patients who are at high risk for medication errors. Topics mentioned include the number of medication discrepancies revealed by the home visits, the number of interventions made by Hunterdon pharmacy resident Michael T. Mauri during the visits, and the modification of the project on the basis of lessons learned during the pilot.","","","76",2019,"Home Health Care	Homebound Persons	Medication Errors -- Risk Factors	Medication Management	Skilled N","NOT AMS intervention; NOT Long Term Care","",""
4194552,"","not_duplicate","excluded","not_screened","not_started","database","","","Clinical Rounds","The article offers nursing-related news briefs in the U.S. as of June 2019. A list is issued on the top patient safety concerns including electronic health records' use for diagnostic stewardship and promoting antimicrobial stewardship in practices. A study has shown that usual signs are not reliable in assessing low-intake dehydration in older adults. A trial has shown that using chlorhexidine (CHG) soap for bathing reduces organisms and bacteremia in intensive care unit (ICU) patients.","","","49",2019,"Nursing Care	Burnout, Professional	Patient Safety	Dehydration -- Symptoms -- In Old Age	Aged	Bactere","Article type; NOT AMS intervention; NOT Long Term Care","",""
4194553,"","not_duplicate","excluded","not_screened","not_started","database","","","Q & A: Identifying and preventing UTIs in Long-Term Care...Maina J","","","","22",2019,"Urinary Tract Infections -- Diagnosis	Urinary Tract Infections -- Prevention and Control	Long Term C","Article type","",""
4194554,"","not_duplicate","excluded","not_screened","not_started","database","","","Continuing Education for Nursing Contact Hours and CRNI® Recertification Units","The CE test for this issue is available online only at www.NursingCenter.com/CE/JIN. For INS members, go to http://bit.ly/2ikXVjA for INS member benefit information. You can go to the JIN CE test area from there.","","","42",2019,"Intravenous Nursing	Nursing Practice	Education, Continuing (Credit)	Health Care Costs	Universal Prec","; NOT AMS intervention","",""
4194555,"","not_duplicate","excluded","not_screened","not_started","database","","","FoNS Blog","","","","",2019,"Education, Nursing -- Organizations	Foundations	Blogs	Attitude of Health Personnel	National Health P","; Article type","",""
4194556,"","not_duplicate","excluded","not_screened","not_started","database","","","Impact of a geriatric intervention conducted in nursing homes on inappropriate prescriptions of antipsychotics","","","","10",2019,"*geriatrics	*nursing home	*potentially inappropriate medication	Aged	Article	Clinical audit	Controll","NOT AMS intervention","",""
4194557,"","not_duplicate","excluded","not_screened","not_started","database","","","Process evaluation of a complex intervention to optimize quality of prescribing in nursing homes (COME-ON study)","","","","14",2019,"*inappropriate prescribing	*nursing home patient	Adult	Article	Controlled clinical trial	Controlled ","NOT AMS intervention","",""
4194558,"","not_duplicate","excluded","not_screened","not_started","database","","","Optimizing Prescribing of Antipsychotics in Long-Term Care (OPAL): a Stepped-Wedge Trial","","","","",2019,"*dementia	*follow up	*inappropriate prescribing	*psychosis	Aged	Article	Controlled study	Female	Huma","NOT AMS intervention","",""
4194559,"","not_duplicate","excluded","not_screened","not_started","database","","","Evaluation of a prescription support-tool for chronic management of oral antithrombotic combinations in adults using clinical vignettes: protocol of a randomised controlled trial","","","","9",2019,"*long term care	*prescription	*vignette	Article	Cardiologist	E‐mail	General practitioner	Human	Outpa","NOT AMS intervention","",""
4194560,"","not_duplicate","excluded","not_screened","not_started","database","","","Prescribing and Research in Medicines Management - PRIMM (UK and Ireland) 31st Annual Scientific Meeting","The proceedings contain 40 papers. The topics discussed include: a multi-site case study exploring current challenges around managing medicines within the assisted-living and domiciliary care sector; a national survey of Irish community pharmacists' antimicrobial stewardship views and activity; a study of antibiotic use in an Irish community pharmacy; a system wide medicines safety self-assessment framework; a systematic review of interventions designed to improve medicines safety in mental health hospitals; a systematic review of pharmacist interventions using motivational interviewing methodology; a virtual patient educational program to teach counseling to clinical pharmacists -a quantitative evaluation; and an investigation into the accurate administration of time-critical medication in an acute care setting and determining factors that can influence this.","","","29",2020,"antibiotic agent	adult	antimicrobial stewardship	assisted living facility	clinical pharmacist	commun","Article type; NOT AMS intervention","",""
4194561,"","not_duplicate","excluded","not_screened","not_started","database","","","Abstracts of 48th ESCP Symposium on Clinical Pharmacy","The proceedings contain 191 papers. The topics discussed include: pharmacogenetic information in summaries of product characteristics: analysis by natural language processing; inappropriate dosing of direct oral anticoagulants at hospital entry; assessing appropriateness for antidepressants switch in the geriatric psychiatric ward; POPI (pediatrics: omission of prescriptions and inappropriate prescriptions): an international consensus validation of a tool to identify inappropriate prescribing; EU-7 criteria and its applicability in pharmacoepidemiological research in Central and Eastern Europe; use of potentially inappropriate medication in Swiss nursing homes: epidemiological analysis; exploring patient's perspectives after start with inhalation maintenance therapy; a qualitative theory-based study; anticholinergic burden in Slovenia: a nationwide database study; and evaluation of an educational program concerning anticoagulants (ETAP) after five years in a cardiology department.","","","42",2020,"anticoagulant agent	antidepressant agent	cholinergic receptor blocking agent	adult	cardiology	clinic","Article type","",""
4194562,"","not_duplicate","excluded","not_screened","not_started","database","","","Antibiotic stewardship checklist","","","","23",2020,"Skilled Nursing Facilities	Antimicrobial Stewardship	Quality Improvement	Checklists	Leadership	Accou","; NOT Impl Barr","",""
4194563,"","not_duplicate","excluded","not_screened","not_started","database","","","Study finds diabetes overtreatment at end of life","","","","39",2020,"Diabetes Mellitus -- Therapy	Nursing Home Patients	Life Expectancy	Dementia	Aged	Glycemic Control	In","NOT AMS intervention","",""
